Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Corner Store #3958,78754,12/23/2015,100,"12307 DESSAU RD
AUSTIN, TX 78754
(30.3872270486783, -97.647806424729)",11281491,Routine Inspection
Mr. Gatti's #118,78758,12/23/2015,94,"2121 W PARMER LN
AUSTIN, TX 78758
(30.4156492668216, -97.6975693977174)",2801996,Routine Inspection
Texaco Braker Mart,78758,12/23/2015,83,"2601 W BRAKER LN
AUSTIN, TX 78758
(30.3902689911182, -97.7196601686632)",10001712,Routine Inspection
Taco Bell,78753,12/23/2015,93,"9504 N LAMAR BLVD
AUSTIN, TX 78753
(30.3648005734768, -97.6966532014911)",11066396,Routine Inspection
Subway,78758,12/23/2015,98,"2501 W PARMER LN
AUSTIN, TX 78758
(30.4182363972979, -97.7022420545932)",10385802,Routine Inspection
Starbucks Coffee #8632,78704,12/23/2015,96,"2300 S IH
AUSTIN, TX 78704
(30.2335635000126, -97.742330294521)",2802363,Routine Inspection
Baskin Robbins,78758,12/23/2015,99,"12407 N MOPAC EXPY
AUSTIN, TX 78758
(30.4174621728585, -97.7028442208035)",2802274,Routine Inspection
7-Eleven Convenience Store # 36604A,78723,12/23/2015,94,"6518 ED BLUESTEIN BLVD
AUSTIN, TX 78723
(30.3033303077623, -97.6616370060933)",11196293,Routine Inspection
Schlotzsky's,78726,12/23/2015,97,"8300 N FM 620 RD
AUSTIN, TX 78726
(30.4219185413685, -97.847254232714)",10747053,Routine Inspection
Las Tablitas Mexican Grill,78669,12/23/2015,80,"21209 W SH
SPICEWOOD, TX 78669
(30.3530327628916, -98.0654753930557)",11028840,Routine Inspection
Polvo's Restaurant & Bar,78704,12/23/2015,45,"2004 S 1ST ST
AUSTIN, TX 78704
(30.2453462011948, -97.7574128288541)",2801085,Routine Inspection
Sonic Drive In,78723,12/23/2015,87,"7112 ED BLUESTEIN BLVD
AUSTIN, TX 78723
(30.3125647957429, -97.6638021366129)",2800619,Routine Inspection
Tinseltown USA Pflugerville,78660,12/23/2015,100,"15436 FM
PFLUGERVILLE, TX 78660
(30.4485513686075, -97.6621572843974)",2801050,Routine Inspection
6 St Cool Store,78702,12/23/2015,100,"1900 E 6TH ST
AUSTIN, TX 78702
(30.2617727378966, -97.7222313987688)",10199624,Routine Inspection
Radio Coffee & Beer,78704,12/23/2015,94,"4204 MANCHACA RD
AUSTIN, TX 78704
(30.231538206135, -97.7878105831857)",11157451,Routine Inspection
Night Hawk Frisco Shop,78757,12/23/2015,92,"6801 BURNET RD
AUSTIN, TX 78757
(30.3438166097189, -97.7379784977545)",10169809,Routine Inspection
