Facility_ID,Restaurant_Name,Inspection_Date,Process_Description,Geocode,Street,City,Zip_Code,Score,Latitude,Longitude,Area,Status,Letter_Grade,Area_NE Austin,Area_NW Austin,Area_SE Austin,Area_SW Austin,Status_Pass,Grade_B,Grade_C,Grade_F,Pristine
2801996,Mr. Gatti's #118,2015-12-23,Routine Inspection,"2121 W PARMER LN, AUSTIN, TX 78758",2121 W PARMER LN,AUSTIN,78758,94,30.4156492668,-97.6975693977,NW Austin,Pass,A,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
10385802,Subway,2015-12-23,Routine Inspection,"2501 W PARMER LN, AUSTIN, TX 78758",2501 W PARMER LN,AUSTIN,78758,98,30.4182363973,-97.7022420546,NW Austin,Pass,A,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
2802274,Baskin Robbins,2015-12-23,Routine Inspection,"12407 N MOPAC EXPY, AUSTIN, TX 78758",12407 N MOPAC EXPY,AUSTIN,78758,99,30.4174621729,-97.7028442208,NW Austin,Pass,A,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
10964220,JR's Tacos,2015-12-22,Routine Inspection,"1921 CEDAR BEND DR, AUSTIN, TX 78758",1921 CEDAR BEND DR,AUSTIN,78758,91,30.408322329,-97.6982433227,NW Austin,Pass,A,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
10778546,Econo Lodge,2015-12-22,Routine Inspection,"9100 BURNET RD, AUSTIN, TX 78758",9100 BURNET RD,AUSTIN,78758,91,30.3747904817,-97.7264170497,NW Austin,Pass,A,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
2803821,Shahi Food Market,2015-12-22,Routine Inspection,"12410 N LAMAR BLVD, AUSTIN, TX 78758",12410 N LAMAR BLVD,AUSTIN,78758,80,30.4066900254,-97.6788692604,NW Austin,Pass,B,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
10771103,K1 Speed,2015-12-22,Routine Inspection,"2500 MC HALE CT, AUSTIN, TX 78758",2500 MC HALE CT,AUSTIN,78758,87,30.3851472597,-97.721224608,NW Austin,Pass,B,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
10006802,Jasper's,2015-12-22,Routine Inspection,"11506 CENTURY OAKS TER, AUSTIN, TX 78758",11506 CENTURY OAKS TER,AUSTIN,78758,83,30.4025739974,-97.7258935626,NW Austin,Pass,B,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
2800815,Papa John's Pizza #930,2015-12-22,Routine Inspection,"1925 RUTLAND DR, AUSTIN, TX 78758",1925 RUTLAND DR,AUSTIN,78758,84,30.3788756448,-97.7130952608,NW Austin,Pass,B,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
10091620,Subway #43067,2015-12-21,Routine Inspection,"1910 W BRAKER LN, AUSTIN, TX 78758",1910 W BRAKER LN,AUSTIN,78758,96,30.3923075645,-97.7066994049,NW Austin,Pass,A,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
11066721,Taco Bell #030168,2015-12-21,Routine Inspection,"2600 W BRAKER LN, AUSTIN, TX 78758",2600 W BRAKER LN,AUSTIN,78758,98,30.391064741,-97.7200996412,NW Austin,Pass,A,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
10439962,Bamboo Bistro,2015-12-21,Routine Inspection,"11101 BURNET RD, AUSTIN, TX 78758",11101 BURNET RD,AUSTIN,78758,88,30.3954579076,-97.7194445595,NW Austin,Pass,B,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
2803784,Walgreens #4632,2015-12-21,Routine Inspection,"1910 W BRAKER LN, AUSTIN, TX 78758",1910 W BRAKER LN,AUSTIN,78758,100,30.3923075645,-97.7066994049,NW Austin,Pass,A,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
10708803,Little Munchkins Learning Ctr,2015-12-21,Routine Inspection,"2020 DENTON DR, AUSTIN, TX 78758",2020 DENTON DR,AUSTIN,78758,93,30.3859206618,-97.7132940228,NW Austin,Pass,A,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
10403775,Andiamo Italiano,2015-12-18,Routine Inspection,"2521 RUTLAND DR, AUSTIN, TX 78758",2521 RUTLAND DR,AUSTIN,78758,92,30.3825725869,-97.7231001869,NW Austin,Pass,A,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
11066597,Taco Bell,2015-12-17,Routine Inspection,"1825 W PARMER LN, AUSTIN, TX 78758",1825 W PARMER LN,AUSTIN,78758,99,30.4137148964,-97.6928614449,NW Austin,Pass,A,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
2800557,Rita's Mexican Restaurant,2015-12-17,Routine Inspection,"1934 RUTLAND DR, AUSTIN, TX 78758",1934 RUTLAND DR,AUSTIN,78758,86,30.3797268658,-97.7130269219,NW Austin,Pass,B,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
